,pokemon,description,number_nationaldex
170,Lanturn,"
                  Lanturn is nicknamed “the deep-sea star"" for its illuminated
antenna. This Pokémon produces light by causing a chemical
reaction between bacteria and its bodily fluids inside
the antenna.
                ",171
171,Pichu,"
                  Pichu charges itself with electricity more easily on days with
thunderclouds or when the air is very dry. You can hear the
crackling of static electricity coming off this Pokémon.
                ",172
172,Cleffa,"
                  On nights with many shooting stars, Cleffa can be seen
dancing in a ring. They dance through the night and stop only
at the break of day, when these Pokémon quench their thirst
with the morning dew.
                ",173
173,Igglybuff,"
                  Igglybuff's vocal cords are not sufficiently developed. It would
hurt its throat if it were to sing too much. This Pokémon
gargles with freshwater from a clean stream.
                ",174
174,Togepi,"
                  As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others.
                ",175
175,Togetic,"
                  Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart, it is
said to appear and share its happiness with that person.
                ",176
176,Natu,"
                  Natu cannot fly because its wings are not yet fully grown.
If your eyes meet with this Pokémon's eyes, it will stare back
intently at you. But if you move even slightly, it will hop away
to safety.
                ",177
177,Xatu,"
                  Xatu stands rooted and still in one spot all day long.
People believe that this Pokémon does so out of fear of the
terrible things it has foreseen in the future.
                ",178
178,Mareep,"
                  Mareep's fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows.
                ",179
179,Flaaffy,"
                  Flaaffy's wool quality changes so that it can generate a high
amount of static electricity with a small amount of wool.
The bare and slick parts of its hide are shielded
against electricity.
                ",180
180,Ampharos,"
                  Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokémon
to send signals back and forth with others far away.
                ",181
181,Bellossom,"
                  When Bellossom gets exposed to plenty of sunlight, the leaves
ringing its body begin to spin around. This Pokémon's dancing
is renowned in the southern lands.
                ",182
182,Marill,"
                  Marill's oil-filled tail acts much like a life preserver. If you see
just its tail bobbing on the water's surface, it's a sure
indication that this Pokémon is diving beneath the water to
feed on aquatic plants.
                ",183
183,Azumarill,"
                  Azumarill's long ears are indispensable sensors. By focusing its
hearing, this Pokémon can identify what kinds of prey are
around, even in rough and fast-running rivers.
                ",184
184,Sudowoodo,"
                  Sudowoodo camouflages itself as a tree to avoid being
attacked by enemies. However, because its hands remain
green throughout the year, the Pokémon is easily identified
as a fake during the winter.
                ",185
185,Politoed,"
                  The curled hair on Politoed's head is proof of its status as a
king. It is said that the longer and more curled the hair, the
more respect this Pokémon earns from its peers.
                ",186
186,Hoppip,"
                  This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away.
                ",187
187,Skiploom,"
                  Skiploom's flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer.
                ",188
188,Jumpluff,"
                  Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating.
                ",189
189,Aipom,"
                  Aipom's tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokémon uses its tail so
much, its real hands have become rather clumsy.
                ",190
190,Sunkern,"
                  Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew.
                ",191
191,Sunflora,"
                  Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night.
                ",192
192,Yanma,"
                  Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokémon uses its flying ability to
quickly chase down targeted prey.
                ",193
193,Wooper,"
                  Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film.
                ",194
194,Quagsire,"
                  Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokémon does not move, it does not get very hungry.
                ",195
195,Espeon,"
                  Espeon is extremely loyal to any Trainer it considers to
be worthy. It is said that this Pokémon developed its
precognitive powers to protect its Trainer from harm.
                ",196
196,Umbreon,"
                  Umbreon evolved as a result of exposure to the moon's waves.
It hides silently in darkness and waits for its foes to make a
move. The rings on its body glow when it leaps to attack.
                ",197
197,Murkrow,"
                  Murkrow was feared and loathed as the alleged bearer of ill
fortune. This Pokémon shows strong interest in anything that
sparkles or glitters. It will even try to steal rings from women.
                ",198
198,Slowking,"
                  Slowking undertakes research every day in an effort to solve
the mysteries of the world. However, this Pokémon apparently
forgets everything it has learned if the Shellder on its head
comes off.
                ",199
199,Misdreavus,"
                  Misdreavus frightens people with a creepy, sobbing cry.
The Pokémon apparently uses its red spheres to absorb the
fearful feelings of foes and turn them into nutrition.
                ",200
200,Unown,"
                  This Pokémon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known.
                ",201
201,Wobbuffet,"
                  If two or more Wobbuffet meet, they will turn competitive
and try to outdo each other's endurance. However, they may
try to see which one can endure the longest without food.
Trainers need to beware of this habit.
                ",202
202,Girafarig,"
                  Girafarig's rear head also has a brain, but it is small. The rear
head attacks in response to smells and sounds. Approaching
this Pokémon from behind can cause the rear head to suddenly
lash out and bite.
                ",203
203,Pineco,"
                  Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokémon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning.
                ",204
204,Forretress,"
                  Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokémon is catching prey,
but it does so at such a quick pace that the shell's inside
cannot be seen.
                ",205
205,Dunsparce,"
                  Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokémon is known to make its
nest in complex shapes deep under the ground.
                ",206
206,Gligar,"
                  Gligar glides through the air without a sound as if it were
sliding. This Pokémon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb.
                ",207
207,Steelix,"
                  Steelix lives even further underground than Onix.
This Pokémon is known to dig toward the earth's core.
There are records of this Pokémon reaching a depth of over
six-tenths of a mile underground.
                ",208
208,Snubbull,"
                  By baring its fangs and making a scary face, Snubbull sends
smaller Pokémon scurrying away in terror. However, this
Pokémon seems a little sad at making its foes flee.
                ",209
209,Granbull,"
                  Granbull has a particularly well-developed lower jaw.
The enormous fangs are heavy, causing the Pokémon to tip its
head back for balance. Unless it is startled, it will not try to
bite indiscriminately.
                ",210
210,Qwilfish,"
                  Qwilfish sucks in water, inflating itself. This Pokémon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging.
                ",211
211,Scizor,"
                  Scizor has a body with the hardness of steel. It is not easily
fazed by ordinary sorts of attacks. This Pokémon flaps its
wings to regulate its body temperature.
                ",212
212,Shuckle,"
                  Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice.
                ",213
213,Heracross,"
                  Heracross charges in a straight line at its foe, slips beneath the
foe's grasp, and then scoops up and hurls the opponent with
its mighty horn. This Pokémon even has enough power to
topple a massive tree.
                ",214
214,Sneasel,"
                  Sneasel scales trees by punching its hooked claws into the
bark. This Pokémon seeks out unguarded nests and steals
eggs for food while the parents are away.
                ",215
215,Teddiursa,"
                  This Pokémon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill.
                ",216
216,Ursaring,"
                  In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food.
This Pokémon walks through its forest gathering food
every day.
                ",217
217,Slugma,"
                  Molten magma courses throughout Slugma's circulatory
system. If this Pokémon is chilled, the magma cools and
hardens. Its body turns brittle and chunks fall off, reducing
its size.
                ",218
218,Magcargo,"
                  Magcargo's shell is actually its skin that hardened as a result
of cooling. Its shell is very brittle and fragile—just touching it
causes it to crumble apart. This Pokémon returns to its original
size by dipping itself in magma.
                ",219
219,Swinub,"
                  Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs.
                ",220
220,Piloswine,"
                  Piloswine is covered by a thick coat of long hair that enables it
to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice.
                ",221
221,Corsola,"
                  Corsola's branches glitter very beautifully in seven colors when
they catch sunlight. If any branch breaks off, this Pokémon
grows it back in just one night.
                ",222
222,Remoraid,"
                  Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokémon travels downstream
from rivers.
                ",223
223,Octillery,"
                  Octillery grabs onto its foe using its tentacles. This Pokémon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape.
                ",224
224,Delibird,"
                  Delibird carries its food bundled up in its tail. There once was
a famous explorer who managed to reach the peak of the
world's highest mountain, thanks to one of these Pokémon
sharing its food.
                ",225
225,Mantine,"
                  On sunny days, schools of Mantine can be seen elegantly
leaping over the sea's waves. This Pokémon is not bothered
by the Remoraid that hitches rides.
                ",226
226,Skarmory,"
                  Skarmory is entirely encased in hard, protective armor.
This Pokémon flies at close to 190 mph. It slashes foes with
its wings that possess swordlike cutting edges.
                ",227
227,Houndour,"
                  Houndour hunt as a coordinated pack. They communicate with
each other using a variety of cries to corner their prey.
This Pokémon's remarkable teamwork is unparalleled.
                ",228
228,Houndoom,"
                  In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokémon
choose their leader by fighting among themselves.
                ",229
229,Kingdra,"
                  Kingdra lives at extreme ocean depths that are otherwise
uninhabited. It has long been believed that the yawning of this
Pokémon creates spiraling ocean currents.
                ",230
230,Phanpy,"
                  For its nest, Phanpy digs a vertical pit in the ground at the
edge of a river. It marks the area around its nest with its trunk
to let the others know that the area has been claimed.
                ",231
231,Donphan,"
                  Donphan's favorite attack is curling its body into a ball, then
charging at its foe while rolling at high speed. Once it starts
rolling, this Pokémon can't stop very easily.
                ",232
232,Porygon2,"
                  Porygon2 was created by humans using the power of science.
The man-made Pokémon has been endowed with artificial
intelligence that enables it to learn new gestures and emotions
on its own.
                ",233
233,Stantler,"
                  Stantler's magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers.
                ",234
234,Smeargle,"
                  Smeargle marks the boundaries of its territory using a body
fluid that leaks out from the tip of its tail. Over 5,000 different
marks left by this Pokémon have been found.
                ",235
235,Tyrogue,"
                  Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods.
                ",236
236,Hitmontop,"
                  Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking.
                ",237
237,Smoochum,"
                  Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn't become dirty.
                ",238
238,Elekid,"
                  Elekid stores electricity in its body. If it touches metal and
accidentally discharges all its built-up electricity, this Pokémon
begins swinging its arms in circles to recharge itself.
                ",239
239,Magby,"
                  Magby's state of health is determined by observing the fire it
breathes. If the Pokémon is spouting yellow flames from its
mouth, it is in good health. When it is fatigued, black smoke
will be mixed in with the flames.
                ",240
240,Miltank,"
                  Miltank gives over five gallons of milk on a daily basis.
Its sweet milk is enjoyed by children and grown-ups alike.
People who can't drink milk turn it into yogurt and eat
it instead.
                ",241
241,Blissey,"
                  Blissey senses sadness with its fluffy coat of fur. If it does so,
this Pokémon will rush over to a sad person, no matter how far
away, to share a Lucky Egg that brings a smile to any face.
                ",242
242,Raikou,"
                  Raikou embodies the speed of lightning. The roars of this
Pokémon send shock waves shuddering through the air
and shake the ground as if lightning bolts had come
crashing down.
                ",243
243,Entei,"
                  Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all that
they touch.
                ",244
244,Suicune,"
                  Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water.
                ",245
245,Larvitar,"
                  Larvitar is born deep under the ground. To come up to the
surface, this Pokémon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents.
                ",246
246,Pupitar,"
                  Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durable—it avoids damage even if it hits solid steel.
                ",247
247,Tyranitar,"
                  Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokémon wanders about
in mountains seeking new opponents to fight.
                ",248
248,Lugia,"
                  Lugia's wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea.
                ",249
249,Ho-Oh,"
                  Ho-Oh's feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow.
                ",250
250,Celebi,"
                  This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us.
                ",251
251,Treecko,"
                  Treecko has small hooks on the bottom of its feet that enable
it to scale vertical walls. This Pokémon attacks by slamming
foes with its thick tail.
                ",252
252,Grovyle,"
                  The leaves growing out of Grovyle's body are convenient for
camouflaging it from enemies in the forest. This Pokémon is a
master at climbing trees in jungles.
                ",253
253,Sceptile,"
                  The leaves growing on Sceptile's body are very sharp edged.
This Pokémon is very agile—it leaps all over the branches of
trees and jumps on its foe from above or behind.
                ",254
254,Torchic,"
                  Torchic sticks with its Trainer, following behind with
unsteady steps. This Pokémon breathes fire of over
1,800 degrees Fahrenheit, including fireballs that leave
the foe scorched black.
                ",255
255,Combusken,"
                  Combusken toughens up its legs and thighs by running
through fields and mountains. This Pokémon's legs possess
both speed and power, enabling it to dole out 10 kicks in
one second.
                ",256
256,Blaziken,"
                  In battle, Blaziken blows out intense flames from its wrists and
attacks foes courageously. The stronger the foe, the more
intensely this Pokémon's wrists burn.
                ",257
257,Mudkip,"
                  The fin on Mudkip's head acts as highly sensitive radar.
Using this fin to sense movements of water and air, this
Pokémon can determine what is taking place around it
without using its eyes.
                ",258
258,Marshtomp,"
                  The surface of Marshtomp's body is enveloped by a thin, sticky
film that enables it to live on land. This Pokémon plays in mud
on beaches when the ocean tide is low.
                ",259
259,Swampert,"
                  Swampert is very strong. It has enough power to easily drag a
boulder weighing more than a ton. This Pokémon also has
powerful vision that lets it see even in murky water.
                ",260
260,Poochyena,"
                  At first sight, Poochyena takes a bite at anything that moves.
This Pokémon chases after prey until the victim becomes
exhausted. However, it may turn tail if the prey strikes back.
                ",261
261,Mightyena,"
                  Mightyena gives obvious signals when it is preparing to attack.
It starts to growl deeply and then flattens its body.
This Pokémon will bite savagely with its sharply pointed fangs.
                ",262
262,Zigzagoon,"
                  Zigzagoon restlessly wanders everywhere at all times.
This Pokémon does so because it is very curious. It becomes
interested in anything that it happens to see.
                ",263
263,Linoone,"
                  Linoone always runs full speed and only in straight lines.
If facing an obstacle, it makes a right-angle turn to evade it.
This Pokémon is very challenged by gently curving roads.
                ",264
264,Wurmple,"
                  Using the spikes on its rear end, Wurmple peels the bark off
trees and feeds on the sap that oozes out. This Pokémon's
feet are tipped with suction pads that allow it to cling to glass
without slipping.
                ",265
265,Silcoon,"
                  Silcoon tethers itself to a tree branch using silk to keep from
falling. There, this Pokémon hangs quietly while it awaits
evolution. It peers out of the silk cocoon through a small hole.
                ",266
266,Beautifly,"
                  Beautifly's favorite food is the sweet pollen of flowers. If you
want to see this Pokémon, just leave a potted flower by an
open window. Beautifly is sure to come looking for pollen.
                ",267
267,Cascoon,"
                  Cascoon makes its protective cocoon by wrapping its body
entirely with a fine silk from its mouth. Once the silk goes
around its body, it hardens. This Pokémon prepares for its
evolution inside the cocoon.
                ",268
268,Dustox,"
                  Dustox is instinctively drawn to light. Swarms of this Pokémon
are attracted by the bright lights of cities, where they wreak
havoc by stripping the leaves off roadside trees for food.
                ",269
269,Lotad,"
                  Lotad live in ponds and lakes, where they float on the surface.
It grows weak if its broad leaf dies. On rare occasions, this
Pokémon travels on land in search of clean water.
                ",270
270,Lombre,"
                  Lombre is nocturnal—it will get active after dusk.
It is also a mischief maker. When this Pokémon
spots anglers, it tugs on their fishing lines from
beneath the surface and enjoys their consternation.
                ",271
271,Ludicolo,"
                  Ludicolo begins dancing as soon as it hears cheerful,
festive music. This Pokémon is said to appear when it
hears the singing of children on hiking outings.
                ",272
272,Seedot,"
                  Seedot attaches itself to a tree branch using the top of its
head. It sucks moisture from the tree while hanging off the
branch. The more water it drinks, the glossier this Pokémon's
body becomes.
                ",273
273,Nuzleaf,"
                  Nuzleaf live in densely overgrown forests. They occasionally
venture out of the forest to startle people. This Pokémon
dislikes having its long nose pinched.
                ",274
274,Shiftry,"
                  Shiftry is a mysterious Pokémon that is said to live atop
towering trees dating back over a thousand years. It creates
terrific windstorms with the fans it holds.
                ",275
275,Taillow,"
                  Taillow courageously stands its ground against foes, however
strong they may be. This gutsy Pokémon will remain defiant
even after a loss. On the other hand, it cries loudly if it
becomes hungry.
                ",276
276,Swellow,"
                  Swellow flies high above our heads, making graceful arcs
in the sky. This Pokémon dives at a steep angle as soon as
it spots its prey. The hapless prey is tightly grasped by
Swellow's clawed feet, preventing escape.
                ",277
277,Wingull,"
                  Wingull has the habit of carrying prey and valuables in its beak
and hiding them in all sorts of locations. This Pokémon rides
the winds and flies as if it were skating across the sky.
                ",278
278,Pelipper,"
                  Pelipper is a flying transporter that carries small Pokémon and
eggs inside its massive bill. This Pokémon builds its nest on
steep cliffs facing the sea.
                ",279
279,Ralts,"
                  Ralts senses the emotions of people using the horns on
its head. This Pokémon rarely appears before people.
But when it does, it draws closer if it senses that the person
has a positive disposition.
                ",280
280,Kirlia,"
                  It is said that a Kirlia that is exposed to the positive emotions
of its Trainer grows beautiful. This Pokémon controls
psychokinetic powers with its highly developed brain.
                ",281
281,Gardevoir,"
                  Gardevoir has the ability to read the future. If it senses
impending danger to its Trainer, this Pokémon is said
to unleash its psychokinetic energy at full power.
                ",282
282,Surskit,"
                  From the tips of its feet, Surskit secretes an oil that enables it
to walk on water as if it were skating. This Pokémon feeds on
microscopic organisms in ponds and lakes.
                ",283
283,Masquerain,"
                  Masquerain intimidates enemies with the eyelike patterns
on its antennas. This Pokémon flaps its four wings to freely fly
in any direction—even sideways and backwards—as if it were
a helicopter.
                ",284
284,Shroomish,"
                  Shroomish live in damp soil in the dark depths of forests.
They are often found keeping still under fallen leaves.
This Pokémon feeds on compost that is made up of fallen,
rotted leaves.
                ",285
285,Breloom,"
                  Breloom closes in on its foe with light and sprightly footwork,
then throws punches with its stretchy arms. This Pokémon's
fighting technique puts boxers to shame.
                ",286
286,Slakoth,"
                  Slakoth lolls around for over 20 hours every day. Because it
moves so little, it does not need much food. This Pokémon's
sole daily meal consists of just three leaves.
                ",287
287,Vigoroth,"
                  Vigoroth is always itching and agitated to go on a wild
rampage. It simply can't tolerate sitting still for even
a minute. This Pokémon's stress level rises if it can't
be moving constantly.
                ",288
288,Slaking,"
                  Slaking spends all day lying down and lolling about. It eats
grass growing within its reach. If it eats all the grass it can
reach, this Pokémon reluctantly moves to another spot.
                ",289
289,Nincada,"
                  Nincada lives underground for many years in complete
darkness. This Pokémon absorbs nutrients from the roots of
trees. It stays motionless as it waits for evolution.
                ",290
290,Ninjask,"
                  Ninjask moves around at such a high speed that it
cannot be seen, even while its crying can be clearly heard.
For that reason, this Pokémon was long believed to
be invisible.
                ",291
291,Shedinja,"
                  Shedinja's hard body doesn't move—not even a twitch. In fact,
its body appears to be merely a hollow shell. It is believed that
this Pokémon will steal the spirit of anyone peering into its
hollow body from its back.
                ",292
292,Whismur,"
                  Normally, Whismur's voice is very quiet—it is barely audible
even if one is paying close attention. However, if this Pokémon
senses danger, it starts crying at an earsplitting volume.
                ",293
293,Loudred,"
                  Loudred's bellowing can completely decimate a wood-frame
house. It uses its voice to punish its foes. This Pokémon's
round ears serve as loudspeakers.
                ",294
294,Exploud,"
                  Exploud triggers earthquakes with the tremors it creates
by bellowing. If this Pokémon violently inhales from the
ports on its body, it's a sign that it is preparing to let loose
a huge bellow.
                ",295
295,Makuhita,"
                  Makuhita is tenacious—it will keep getting up and attacking
its foe however many times it is knocked down. Every time it
gets back up, this Pokémon stores more energy in its body
for evolving.
                ",296
296,Hariyama,"
                  Hariyama practices its straight-arm slaps in any number of
locations. One hit of this Pokémon's powerful, openhanded,
straight-arm punches could snap a telephone pole in two.
                ",297
297,Azurill,"
                  Azurill spins its tail as if it were a lasso, then hurls it far.
The momentum of the throw sends its body flying, too.
Using this unique action, one of these Pokémon managed to
hurl itself a record 33 feet.
                ",298
298,Nosepass,"
                  Nosepass's magnetic nose is always pointed to the north.
If two of these Pokémon meet, they cannot turn their faces to
each other when they are close because their magnetic noses
repel one another.
                ",299
299,Skitty,"
                  Skitty has the habit of becoming fascinated by moving objects
and chasing them around. This Pokémon is known to chase
after its own tail and become dizzy.
                ",300
300,Delcatty,"
                  Delcatty prefers to live an unfettered existence in which it can
do as it pleases at its own pace. Because this Pokémon eats
and sleeps whenever it decides, its daily routines are
completely random.
                ",301
301,Sableye,"
                  Sableye lead quiet lives deep inside caverns.
They are feared, however, because these Pokémon are
thought to steal the spirits of people when their eyes burn
with a sinister glow in the darkness.
                ",302
302,Mawile,"
                  Mawile's huge jaws are actually steel horns that have been
transformed. Its docile-looking face serves to lull its foe into
letting down its guard. When the foe least expects it, Mawile
chomps it with its gaping jaws.
                ",303
303,Aron,"
                  This Pokémon has a body of steel. To make its body, Aron
feeds on iron ore that it digs from mountains. Occasionally,
it causes major trouble by eating bridges and rails.
                ",304
304,Lairon,"
                  Lairon tempers its steel body by drinking highly nutritious
mineral springwater until it is bloated. This Pokémon makes its
nest close to springs of delicious water.
                ",305
305,Aggron,"
                  Aggron claims an entire mountain as its own territory.
It mercilessly beats up anything that violates its environment.
This Pokémon vigilantly patrols its territory at all times.
                ",306
306,Meditite,"
                  Meditite undertakes rigorous mental training deep in the
mountains. However, whenever it meditates, this Pokémon
always loses its concentration and focus. As a result,
its training never ends.
                ",307
307,Medicham,"
                  It is said that through meditation, Medicham heightens energy
inside its body and sharpens its sixth sense. This Pokémon
hides its presence by merging itself with fields and mountains.
                ",308
308,Electrike,"
                  Electrike stores electricity in its long body hair. This Pokémon
stimulates its leg muscles with electric charges. These jolts of
power give its legs explosive acceleration performance.
                ",309
309,Manectric,"
                  Manectric is constantly discharging electricity from its mane.
The sparks sometimes ignite forest fires. When it enters a
battle, this Pokémon creates thunderclouds.
                ",310
310,Plusle,"
                  Plusle always acts as a cheerleader for its partners.
Whenever a teammate puts out a good effort in battle, this
Pokémon shorts out its body to create the crackling noises of
sparks to show its joy.
                ",311
311,Minun,"
                  Minun is more concerned about cheering on its partners than
its own safety. It shorts out the electricity in its body to create
brilliant showers of sparks to cheer on its teammates.
                ",312
312,Volbeat,"
                  With the arrival of night, Volbeat emits light from its tail.
It communicates with others by adjusting the intensity and
flashing of its light. This Pokémon is attracted by the sweet
aroma of Illumise.
                ",313
313,Illumise,"
                  Illumise attracts a swarm of Volbeat using a sweet fragrance.
Once the Volbeat have gathered, this Pokémon leads the
lit-up swarm in drawing geometric designs on the canvas of
the night sky.
                ",314
314,Roselia,"
                  Roselia shoots sharp thorns as projectiles at any opponent that
tries to steal the flowers on its arms. The aroma of this
Pokémon brings serenity to living things.
                ",315
315,Gulpin,"
                  Virtually all of Gulpin's body is its stomach. As a result, it can
swallow something its own size. This Pokémon's stomach
contains a special fluid that digests anything.
                ",316
316,Swalot,"
                  When Swalot spots prey, it spurts out a hideously toxic fluid
from its pores and sprays the target. Once the prey has
weakened, this Pokémon gulps it down whole with its
cavernous mouth.
                ",317
317,Carvanha,"
                  Carvanha's strongly developed jaws and its sharply pointed
fangs pack the destructive power to rip out boat hulls.
Many boats have been attacked and sunk by this Pokémon.
                ",318
318,Sharpedo,"
                  Nicknamed “the bully of the sea,"" Sharpedo is widely feared.
Its cruel fangs grow back immediately if they snap off. Just one
of these Pokémon can thoroughly tear apart a supertanker.
                ",319
319,Wailmer,"
                  Wailmer's nostrils are located above its eyes. This playful
Pokémon loves to startle people by forcefully snorting out
seawater it stores inside its body out of its nostrils.
                ",320
320,Wailord,"
                  Wailord is the largest of all identified Pokémon up to now.
This giant Pokémon swims languorously in the vast open sea,
eating massive amounts of food at once with its enormous
mouth.
                ",321
321,Numel,"
                  Numel is extremely dull witted—it doesn't notice being hit.
However, it can't stand hunger for even a second.
This Pokémon's body is a seething cauldron of boiling magma.
                ",322
322,Camerupt,"
                  Camerupt has a volcano inside its body. Magma of
18,000 degrees Fahrenheit courses through its body.
Occasionally, the humps on this Pokémon's back erupt,
spewing the superheated magma.
                ",323
323,Torkoal,"
                  Torkoal digs through mountains in search of coal. If it finds
some, it fills hollow spaces on its shell with the coal and burns
it. If it is attacked, this Pokémon spouts thick black smoke to
beat a retreat.
                ",324
324,Spoink,"
                  Spoink bounces around on its tail. The shock of its bouncing
makes its heart pump. As a result, this Pokémon cannot afford
to stop bouncing—if it stops, its heart will stop.
                ",325
325,Grumpig,"
                  Grumpig uses the black pearls on its body to amplify its
psychic power waves for gaining total control over its foe.
When this Pokémon uses its special power, its snorting breath
grows labored.
                ",326
326,Spinda,"
                  All the Spinda that exist in the world are said to have utterly
unique spot patterns. The shaky, tottering steps of this
Pokémon give it the appearance of dancing.
                ",327
327,Trapinch,"
                  Trapinch's nest is a sloped, bowl-like pit dug in sand.
This Pokémon patiently waits for prey to tumble down the pit.
Its giant jaws have enough strength to crush even boulders.
                ",328
328,Vibrava,"
                  To make prey faint, Vibrava generates ultrasonic waves by
vigorously making its two wings vibrate. This Pokémon's
ultrasonic waves are so powerful, they can bring on headaches
in people.
                ",329
329,Flygon,"
                  Flygon is nicknamed “the elemental spirit of the desert.""
Because its flapping wings whip up a cloud of sand, this
Pokémon is always enveloped in a sandstorm while flying.
                ",330
330,Cacnea,"
                  Cacnea lives in arid locations such as deserts. It releases a
strong aroma from its flower to attract prey. When prey comes
near, this Pokémon shoots sharp thorns from its body to bring
the victim down.
                ",331
331,Cacturne,"
                  During the daytime, Cacturne remains unmoving so that it does
not lose any moisture to the harsh desert sun. This Pokémon
becomes active at night when the temperature drops.
                ",332
332,Swablu,"
                  Swablu has light and fluffy wings that are like cottony clouds.
This Pokémon is not frightened of people. It lands on the
heads of people and sits there like a cotton-fluff hat.
                ",333
333,Altaria,"
                  Altaria dances and wheels through the sky among billowing,
cotton-like clouds. By singing melodies in its crystal-clear
voice, this Pokémon makes its listeners experience dreamy
wonderment.
                ",334
334,Zangoose,"
                  Memories of battling its archrival Seviper are etched into every
cell of Zangoose's body. This Pokémon adroitly dodges
attacks with incredible agility.
                ",335
335,Seviper,"
                  Seviper shares a generations-long feud with Zangoose.
The scars on its body are evidence of vicious battles.
This Pokémon attacks using its sword-edged tail.
                ",336
336,Lunatone,"
                  Lunatone was discovered at a location where a meteoroid fell.
As a result, some people theorize that this Pokémon came
from space. However, no one has been able to prove this
theory so far.
                ",337
337,Solrock,"
                  Solrock is a new species of Pokémon that is said to have fallen
from space. It floats in air and moves silently. In battle, this
Pokémon releases intensely bright light.
                ",338
338,Barboach,"
                  Barboach's sensitive whiskers serve as a superb radar system.
This Pokémon hides in mud, leaving only its two whiskers
exposed while it waits for prey to come along.
                ",339
339,Whiscash,"
                  Whiscash is extremely territorial. Just one of these Pokémon
will claim a large pond as its exclusive territory. If a foe
approaches it, it thrashes about and triggers a massive
earthquake.
                ",340
340,Corphish,"
                  Corphish were originally foreign Pokémon that were imported
as pets. They eventually turned up in the wild. This Pokémon is
very hardy and has greatly increased its population.
                ",341
